COD_CLIENTE,COGNOME,NOME,TELEFONO,EMAIL
1,ROSSI,GIADA,06/4328346  ,rossi@gmail.com
2,BELLINELLU,SAMANTHA,06/79876658 ,bellinellu@yahho.it
3,CORIZIO,CARLO,06/76547648 ,corizio@libero.it
4,FRANCINI,CASSANDRA,06/76586548 ,francini@gmail.com
5,MARTORANO,MARCO,06/543326565,martorano@yahho.it
6,FIORULLO,ERIKA,06/98765762 ,fiorullo@hotmail.it
7,GRASSO,IVAN,06/5483678  ,grasso@yahoo.it
8,BERTUTTI,FABRIZIO,06/5367548  ,bertutti@gmail.com
9,CERTORINI,GIANNA,06/53645872 ,certorini@libero.it
10,RADERI,ANTONIO,06/78363459 ,raderi@yahoo.it
11,PAGLINO,ALESSIO,06/67598721 ,paglino@tiscali.it
12,RORESTI,VERONICA,06/3678465  ,roresti@tiscali.it
13,VIONETTI,ARRIGO,06/34254367 ,vionetti@gmail.com
14,SARTIRO,SIMONE,06/845673865,sartiro@yahoo.it
